"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
14,150,135,58,126,81,108,155,144,39,96,119,43,151,80,15,10,152,54
36,59,60,63,154,58,173,66,84,79,123,53,91,100,118,145,106,35,20
178,106,154,176,168,128,87,133,159,23,175,72,170,161,37,16,137,126,140
173,47,35,24,109,105,20,87,119,19,142,45,163,50,39,12,74,134,9
102,145,152,16,96,135,175,18,103,3,105,91,65,170,74,138,25,34,127
166,81,4,128,139,15,136,42,132,72,6,26,116,65,146,93,73,121,105
57,51,177,49,19,158,22,72,106,30,60,155,137,59,39,109,90,139,142
129,130,77,123,14,96,2,83,146,161,121,147,66,109,116,86,31,22,158
94,73,54,56,126,132,5,156,161,117,150,15,118,63,66,97,64,153,162
86,107,179,40,104,100,170,117,53,150,166,57,89,159,177,84,134,85,51
6,13,159,107,84,66,71,131,110,163,30,129,142,158,125,156,2,73,7
9,45,76,29,110,173,163,11,150,5,59,10,117,109,92,28,41,36,95
110,38,88,101,55,24,69,65,122,5,74,163,156,98,95,42,143,29,116
10,106,92,123,43,142,84,45,42,121,82,37,34,49,54,130,23,16,40
62,168,151,178,175,145,11,106,66,170,153,70,123,119,67,68,93,158,150
149,12,43,24,11,113,37,173,178,115,169,67,126,35,100,40,175,46,168
49,11,137,81,124,92,129,141,96,70,119,66,75,56,117,123,131,106,6
52,177,45,26,94,37,103,28,118,180,31,113,139,51,70,116,42,21,173
48,33,149,79,169,130,30,36,103,97,136,146,104,139,69,120,147,110,77
23,117,140,61,100,119,10,91,104,147,7,149,47,50,25,109,70,52,85
149,52,107,110,180,164,129,106,113,111,163,139,173,12,133,102,135,128,71
48,155,39,121,29,134,110,107,62,104,2,166,52,93,150,40,161,128,54
69,95,47,25,62,129,24,150,161,77,20,23,36,84,2,89,176,125,54
43,42,12,50,8,142,122,73,4,93,23,14,48,83,166,76,135,124,34
163,104,151,96,14,50,84,122,165,137,158,8,36,162,9,70,21,65,131
156,116,80,103,177,167,119,60,180,56,2,58,109,28,137,51,126,124,146
140,76,40,13,9,143,116,79,86,147,30,90,150,159,45,26,131,47,65
141,23,37,88,135,63,102,50,75,26,79,178,107,150,72,134,137,153,162
51,73,107,95,43,52,57,112,54,81,108,3,154,103,145,136,6,105,38
178,156,39,104,151,166,145,100,19,4,44,125,163,179,110,68,8,148,34
130,166,46,145,29,33,102,88,163,76,87,57,106,44,69,39,22,79,153
2,110,31,104,151,95,164,148,90,54,34,30,102,158,65,25,87,115,33
12,90,177,135,6,20,7,162,143,144,175,170,69,102,140,11,99,2,62
89,157,13,118,98,119,60,140,153,83,132,92,68,138,17,144,165,74,95
71,110,73,166,58,10,9,30,12,99,154,28,51,108,7,24,148,161,75
37,39,78,58,102,127,6,146,23,137,51,40,161,166,180,24,88,165,79
5,176,77,44,149,62,121,49,123,134,16,11,139,107,2,89,125,48,22
