"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
116,175,136,108,167,121,16,62,50,139,133,75,71,54,11,179,152,88,36,140,73,30,37
80,58,151,17,105,133,173,28,93,15,130,86,117,166,83,7,132,34,53,161,134,112,94
5,56,88,62,146,102,77,2,156,76,7,138,30,40,45,93,35,129,110,142,39,13,18
176,162,164,166,165,117,81,145,114,27,75,69,161,44,169,175,151,64,104,178,89,48,149
81,162,32,33,28,139,137,10,41,122,90,129,30,117,19,39,148,177,37,3,57,99,97
129,116,14,38,176,168,118,170,157,144,45,30,112,128,177,67,20,32,54,68,123,149,50
80,45,44,81,96,133,162,6,63,34,154,143,93,165,119,47,33,72,98,76,16,136,111
156,139,99,6,54,166,46,176,45,142,103,147,28,104,160,37,154,48,11,148,38,132,88
130,12,8,22,51,45,46,59,81,82,149,91,21,104,13,123,175,159,114,161,172,68,124
8,31,45,148,104,26,119,155,66,64,60,114,10,149,94,83,38,16,128,89,112,22,70
105,88,95,109,81,83,15,165,18,23,106,99,178,77,71,59,137,37,152,52,176,43,157
29,11,109,96,64,38,126,32,93,91,171,58,115,138,162,111,67,121,104,94,31,143,13
39,31,175,112,125,146,50,116,93,37,70,6,95,89,22,12,152,119,78,52,58,23,110
22,102,85,99,105,122,62,90,9,101,55,68,136,92,12,174,108,104,19,94,138,53,166
150,71,34,164,122,49,179,103,75,55,4,156,80,23,51,130,163,46,147,17,113,173,140
27,104,57,40,137,123,117,70,71,50,42,114,10,65,54,91,112,115,119,147,109,73,154
176,133,109,152,103,116,179,73,108,143,92,125,137,171,84,127,169,82,46,64,151,24,62
173,170,53,69,68,94,161,157,8,84,51,135,43,178,39,153,150,79,176,99,63,146,29
117,40,78,96,60,7,64,111,9,41,10,65,100,163,171,84,79,46,3,165,135,151,91
22,50,95,154,106,19,89,127,49,169,167,53,80,137,17,29,146,130,21,9,69,92,125
59,149,145,139,162,89,143,65,128,51,98,68,108,35,53,100,20,114,78,93,90,44,34
173,42,50,41,34,72,57,52,18,45,43,164,28,106,134,119,55,10,115,100,21,150,146
54,6,67,120,163,124,10,177,143,121,129,31,174,62,105,2,93,28,99,131,7,58,109
100,86,162,2,173,149,19,10,95,152,109,49,57,94,32,28,159,88,121,154,75,39,106
116,27,105,178,133,127,140,19,168,98,53,147,94,69,77,82,92,30,104,52,132,15,128
66,7,117,164,69,33,49,86,140,131,38,100,157,97,96,50,170,8,31,136,142,135,87
35,170,164,174,103,97,149,37,125,175,10,129,161,58,5,121,18,102,124,128,142,20,152
156,42,76,131,79,91,146,153,92,60,61,55,137,178,162,69,24,65,122,154,142,151,45
14,90,43,45,81,60,26,52,180,116,169,76,111,147,101,30,69,58,149,164,153,66,89
22,15,113,5,50,122,169,48,25,70,150,52,60,63,114,154,3,156,21,178,7,105,29
70,111,18,113,86,3,75,139,175,159,82,52,27,80,76,119,62,124,23,65,138,92,152
111,177,68,89,180,176,84,23,92,139,4,110,58,114,24,94,91,22,129,11,7,124,70
51,37,53,132,54,133,20,7,137,80,100,98,113,88,179,8,162,23,124,97,148,125,171
47,106,133,20,62,6,82,34,129,33,5,142,164,122,74,27,26,114,67,118,105,17,117
139,150,143,138,15,39,21,154,28,98,23,116,94,34,72,55,106,8,103,141,123,29,58
114,130,127,81,96,145,36,71,152,48,31,92,78,24,170,77,133,14,90,37,128,83,18
139,22,109,34,133,124,178,106,18,156,127,110,111,180,74,114,81,149,177,99,7,169,82
121,172,31,158,75,23,82,49,167,90,124,104,41,153,76,3,179,39,7,51,163,72,171
98,176,66,3,138,149,116,73,61,150,109,147,48,17,31,144,54,100,165,136,107,132,113
2,27,13,83,160,156,176,19,16,163,127,43,155,42,124,20,150,63,98,10,101,46,95
7,58,52,44,127,85,142,180,88,26,104,99,63,134,114,9,79,144,38,135,110,35,152
98,116,48,154,174,24,18,47,29,130,68,67,74,169,147,10,8,5,175,168,103,90,75
107,35,28,37,141,130,54,49,8,134,18,15,133,145,79,46,106,42,16,121,74,126,109
66,75,110,81,97,11,137,65,6,29,37,159,124,83,13,168,131,79,146,94,51,14,165
110,18,88,142,141,26,47,125,21,13,144,169,161,93,124,146,70,43,20,99,117,129,19
145,81,15,9,18,178,73,79,95,168,57,74,53,48,140,169,92,75,116,25,148,76,147
122,13,163,19,65,161,96,98,91,56,112,31,180,48,60,12,169,129,27,127,111,159,25
27,80,111,130,22,90,153,107,92,158,6,43,69,33,76,31,91,66,71,105,127,21,157
59,39,111,33,136,110,152,63,60,38,116,43,46,179,53,132,148,171,35,178,29,156,4
22,123,10,51,66,81,127,103,97,122,146,27,154,164,107,114,106,130,57,40,37,69,159
149,131,50,74,134,33,89,47,90,163,87,57,75,44,31,158,64,14,12,95,165,82,16
149,100,91,75,119,178,121,8,154,64,71,27,43,148,133,162,51,128,69,169,85,65,115
152,64,119,2,71,161,37,95,38,50,61,53,43,114,101,138,51,68,21,102,104,57,54
25,107,28,148,34,50,166,79,141,116,146,125,163,18,57,46,40,145,165,58,59,67,41
76,82,33,17,175,29,142,157,18,167,73,88,153,66,78,39,180,83,54,42,69,46,92
79,92,145,139,123,154,50,72,65,2,163,112,42,180,26,94,148,149,143,179,102,140,103
161,84,76,142,173,22,24,82,102,60,34,95,15,111,70,136,40,80,117,125,9,77,90
73,133,134,148,34,84,32,40,161,22,88,108,80,156,119,89,151,110,17,27,167,166,170
57,78,178,123,149,96,156,17,62,45,141,77,3,87,150,11,114,168,164,60,59,127,132
8,82,140,165,88,12,142,141,55,13,57,22,11,42,9,131,127,143,114,54,35,118,122
36,35,136,124,19,76,121,103,72,180,108,28,30,169,171,106,12,157,6,74,47,148,159
64,88,119,135,30,13,141,104,115,179,55,9,10,153,91,54,2,180,16,34,163,122,38
93,147,66,22,156,126,180,94,83,8,91,142,132,82,167,60,97,31,174,77,61,164,101
92,28,146,50,85,6,135,162,49,51,93,63,84,177,180,3,171,83,4,141,7,25,134
75,63,8,42,10,71,127,41,123,157,40,163,105,174,129,62,92,24,89,74,5,158,17
47,124,92,155,16,81,45,174,121,95,145,147,169,150,28,58,77,85,48,136,2,84,42
67,93,58,62,42,168,149,38,110,126,165,17,48,118,3,49,52,96,170,160,139,140,39
135,178,20,90,133,137,102,118,15,79,47,99,57,61,175,89,124,97,35,96,11,32,84
154,162,153,112,28,23,41,62,151,61,175,49,165,124,66,117,110,155,160,33,104,113,159
38,76,90,41,148,132,149,104,122,175,58,79,114,144,21,23,101,119,162,57,64,77,46
139,19,177,159,43,15,118,80,47,13,142,98,3,9,5,116,73,106,178,148,141,25,125
9,127,108,97,80,105,114,137,120,54,47,13,125,57,175,87,31,180,18,149,139,3,176
62,138,120,97,77,69,105,141,60,68,10,18,110,147,74,28,67,123,100,94,72,7,65
170,64,178,168,174,147,100,11,133,13,92,127,155,134,103,47,42,19,70,79,159,90,146
160,100,122,162,50,130,86,139,46,85,12,125,110,141,87,93,35,164,13,167,10,161,175
129,80,5,56,167,3,108,122,53,68,2,126,160,113,65,49,142,98,34,57,54,138,152
115,155,117,67,58,25,108,93,111,20,177,159,46,49,33,105,151,148,85,57,126,64,88
