"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
142,63,4,156,34,116,48,17,83,168,56,52,26,89,109,135,36,152
142,148,179,17,100,57,133,71,28,165,39,104,52,47,31,64,115,10
130,79,65,138,99,52,116,156,100,32,147,26,63,12,175,10,23,131
114,162,7,151,44,11,9,50,153,28,65,124,89,166,98,120,131,143
149,17,99,63,132,89,34,108,176,157,30,177,128,58,38,68,50,61
98,6,141,125,126,56,106,110,145,83,153,154,179,162,156,42,69,158
67,9,80,48,39,105,15,76,127,143,65,178,171,160,167,138,142,101
127,62,176,152,46,69,2,55,31,4,22,43,52,169,45,178,92,94
68,163,77,140,134,101,107,162,9,25,14,154,104,28,139,149,125,97
82,6,88,150,79,4,113,45,145,16,92,117,55,29,155,172,134,76
125,34,70,103,74,106,117,160,57,15,9,98,13,58,11,8,22,105
127,24,99,43,171,103,79,111,117,40,83,153,89,174,35,98,70,3
48,175,39,80,5,111,32,157,50,23,159,82,180,64,92,7,30,120
145,38,19,92,104,129,77,134,33,23,160,37,35,113,137,3,81,57
4,169,161,54,36,163,7,65,180,152,96,60,148,59,156,153,67,138
29,108,65,137,135,56,37,124,99,140,26,74,18,125,80,147,62,83
44,39,153,60,178,59,133,82,47,134,80,62,119,19,94,125,141,175
71,103,105,29,112,50,26,159,174,67,116,178,11,106,149,3,4,27
62,72,132,88,177,148,64,91,172,40,4,27,89,77,178,156,85,58
23,173,162,127,47,130,163,125,61,12,172,145,168,176,62,51,21,161
94,129,20,123,141,126,151,167,35,159,180,120,74,67,57,27,4,22
105,168,97,116,137,76,173,109,134,80,161,74,114,33,152,23,22,175
74,59,40,8,63,128,170,84,31,142,173,162,166,83,119,69,136,171
125,21,42,99,96,53,147,49,142,88,75,177,84,60,169,40,120,152
96,129,55,39,162,137,31,101,62,38,89,115,135,74,172,11,176,5
67,82,96,8,77,125,176,110,46,180,48,65,170,63,32,75,142,121
6,115,30,156,145,19,78,84,79,126,43,103,57,132,85,20,76,2
82,134,41,107,85,48,26,90,84,42,27,33,100,94,13,159,137,171
21,100,84,75,161,174,65,148,42,131,76,136,25,85,95,73,108,169
41,158,162,100,165,153,8,133,74,72,23,40,97,50,113,82,135,119
126,11,49,142,65,44,8,87,170,15,174,68,172,72,136,82,113,74
20,10,81,126,69,58,84,41,125,18,24,161,95,159,16,120,97,169
43,168,138,174,156,111,17,8,133,77,117,126,9,118,69,40,41,99
45,85,150,90,48,50,110,158,104,76,35,174,93,136,172,83,22,31
70,48,158,145,2,16,85,37,46,59,77,175,125,157,142,117,82,4
4,9,162,119,130,144,121,135,23,16,73,159,8,133,117,61,92,136
148,42,43,73,120,83,115,20,150,141,2,127,178,114,52,173,32,88
105,74,163,118,180,108,6,130,23,21,102,148,31,159,26,166,167,2
136,158,87,5,102,93,155,169,71,163,107,92,100,73,125,153,164,25
28,102,130,75,108,4,91,125,67,81,109,174,161,148,128,57,107,99
8,117,34,126,79,71,35,112,98,152,51,131,173,56,160,157,86,109
146,82,39,103,171,159,168,150,177,36,49,101,28,85,148,47,147,15
39,86,125,56,131,133,96,14,22,90,139,168,41,112,145,154,156,159
30,110,77,132,107,28,59,114,119,150,26,33,177,53,34,51,108,159
30,172,31,133,170,121,177,52,2,119,143,114,158,141,80,122,137,26
48,14,41,69,120,39,168,98,22,177,115,104,50,147,113,9,130,121
28,176,46,159,145,141,128,15,124,91,103,153,97,156,58,142,166,60
72,76,50,141,16,137,79,66,33,122,147,69,148,60,82,161,172,115
15,34,8,88,7,156,111,36,123,10,54,121,61,94,165,143,95,159
25,132,161,98,14,74,121,81,173,152,154,170,39,114,113,89,29,44
11,94,13,18,53,34,152,95,60,73,61,118,126,45,129,162,142,160
62,82,127,120,150,25,126,4,50,98,38,32,59,118,52,153,148,106
37,136,80,66,27,109,96,15,4,141,33,42,100,103,36,167,92,127
42,3,164,93,129,162,85,167,32,147,67,95,96,102,174,135,121,92
116,25,59,171,98,174,63,15,72,141,49,36,88,176,18,129,16,69
100,109,135,176,72,91,116,54,98,166,152,154,124,85,68,147,6,80
155,149,8,25,22,85,65,161,70,178,33,96,32,46,14,120,82,174
111,63,125,103,46,64,28,152,80,99,167,5,178,35,50,53,16,155
23,153,25,177,7,111,175,102,88,158,84,34,155,15,100,125,13,139
17,60,68,79,57,63,11,30,80,59,18,146,95,49,43,170,137,174
29,69,11,174,87,28,163,122,82,177,154,83,104,108,64,162,150,138
51,175,41,100,24,15,23,146,130,7,3,53,108,177,87,102,37,117
126,4,93,51,33,99,148,18,90,32,11,101,41,72,121,137,113,170
