"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
144,74,180,12,175,15,20,141,168,55,108,137,86,35,107,123,146,27,91
146,148,121,179,140,41,137,166,67,9,145,56,154,50,109,99,28,57,133
13,109,67,17,179,115,71,124,173,85,10,135,142,39,136,114,168,47,55
105,85,45,46,87,33,43,74,120,25,132,154,5,175,112,93,134,3,171
39,21,22,41,150,38,167,87,111,139,165,170,73,100,31,10,121,61,19
122,7,10,134,8,157,144,20,137,35,85,86,95,22,47,52,126,92,148
103,50,101,150,69,173,97,109,37,36,66,118,71,64,48,122,106,6,166
71,48,67,167,129,138,171,15,136,69,139,145,45,97,112,147,11,40,103
25,171,137,141,50,179,29,100,35,176,68,122,57,162,75,102,46,159,28
120,6,18,170,4,93,83,145,143,12,99,169,147,62,113,109,115,84,88
165,67,3,92,152,83,30,162,47,171,114,12,95,52,35,150,129,62,43
23,59,156,48,61,92,136,5,42,16,78,115,34,9,106,60,30,75,100
8,42,161,101,33,79,60,17,78,32,84,167,171,110,99,166,67,149,64
125,12,51,2,110,168,42,35,104,84,61,34,7,180,148,76,154,170,37
89,160,16,127,152,118,135,105,34,144,148,87,101,61,80,177,40,62,141
171,61,170,127,44,32,35,165,10,123,51,28,168,80,103,57,66,50,16
151,150,6,76,137,111,95,19,57,115,108,162,110,41,29,15,2,61,135
16,109,151,75,138,40,47,167,29,26,23,2,32,91,80,157,170,100,36
176,111,27,83,30,170,10,23,152,141,25,172,61,116,87,125,14,44,82
151,67,92,40,140,113,133,84,28,121,55,125,174,60,161,10,89,77,27
120,35,26,105,20,130,42,37,177,84,170,34,40,163,131,123,28,2,180
22,149,119,141,165,124,58,99,77,55,126,8,59,62,132,148,116,130,5
164,60,29,169,171,42,131,100,168,33,180,41,22,72,99,25,98,52,148
43,39,64,150,110,178,18,9,116,124,120,107,24,139,159,127,154,141,68
61,31,53,77,163,146,92,64,155,117,11,101,63,6,21,124,10,43,178
117,52,143,54,123,156,2,7,69,74,18,100,45,152,122,164,6,119,172
74,4,70,72,62,41,118,166,57,114,101,45,135,56,110,132,155,35,23
95,76,66,162,140,35,119,4,89,82,28,62,13,150,96,10,20,120,141
157,129,133,22,117,50,56,113,158,119,179,37,166,164,139,31,41,172,47
38,3,50,113,138,21,58,178,179,122,83,172,95,158,121,117,57,45,52
111,73,61,68,16,26,124,19,134,170,169,146,56,5,89,150,3,12,51
86,110,178,124,9,69,120,5,141,167,95,93,72,177,119,29,159,6,32
179,52,117,46,50,67,135,91,55,26,62,170,97,138,58,12,108,176,86
144,7,37,138,41,58,21,53,154,26,66,82,80,47,5,95,100,93,151
139,78,63,64,17,58,133,37,88,104,74,61,36,60,155,153,129,177,79
130,27,45,37,141,8,16,69,129,56,11,68,3,57,89,116,139,41,118
34,130,91,166,13,116,27,69,150,68,16,124,144,49,136,102,173,147,161
140,145,134,156,164,14,96,29,28,132,52,63,127,154,33,51,120,40,75
30,56,55,116,173,23,59,170,34,101,91,47,128,31,122,149,68,37,33
38,150,14,155,62,92,99,180,4,48,139,128,109,83,47,68,89,70,110
100,156,43,147,70,49,72,143,99,125,141,170,22,98,137,161,5,16,9
16,138,91,78,121,139,105,137,131,126,65,40,5,173,50,83,119,48,68
16,11,19,114,117,107,98,91,63,12,120,139,25,162,17,179,39,160,59
68,49,153,23,75,92,170,24,18,42,47,121,21,56,131,34,144,101,119
180,151,42,10,13,176,29,175,72,4,74,45,157,17,134,140,73,8,52
23,26,140,45,141,17,138,148,131,52,118,48,130,177,83,25,97,153,73
125,18,34,165,73,28,88,3,23,150,70,164,100,179,22,50,174,77,78
