"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
97,50,125,36,84,129,131,146,121,35,17,139,52,20,140,111,45
179,148,164,177,37,140,166,25,171,160,178,63,19,51,60,137,135
107,37,70,89,69,130,132,21,94,27,38,149,101,63,40,166,138
92,82,22,29,142,141,65,139,159,24,86,89,27,112,106,128,153
34,37,30,95,132,126,172,40,171,93,125,70,133,180,58,118,108
147,56,129,151,95,7,125,178,173,171,61,124,153,72,20,159,31
148,175,155,177,83,73,58,41,57,37,10,138,21,159,125,97,84
145,54,5,178,125,21,157,43,92,158,13,119,8,111,174,89,109
171,148,114,25,42,71,170,146,3,97,110,138,135,125,16,178,15
126,117,35,36,60,135,94,112,168,132,28,158,19,13,43,5,92
43,104,50,19,39,26,36,34,23,174,86,157,35,14,117,118,60
157,44,76,121,11,81,78,151,68,155,129,57,49,91,137,55,51
180,82,60,146,114,25,112,16,143,124,62,96,129,76,49,134,164
71,47,98,121,59,143,32,160,65,170,55,69,82,53,125,72,40
146,67,129,23,88,70,154,103,174,120,168,176,59,78,32,135,83
22,180,133,19,28,6,34,25,153,146,101,173,97,63,152,7,61
151,113,22,179,140,104,165,88,44,57,174,67,26,87,180,38,11
68,34,121,174,61,30,36,73,9,166,29,138,110,11,143,150,180
179,5,157,52,44,142,126,154,97,37,116,67,28,144,65,64,108
15,95,154,14,13,113,168,173,177,65,141,73,118,172,151,155,142
126,96,11,28,157,151,94,71,53,38,80,168,170,22,112,169,90
166,115,35,156,117,5,93,32,81,62,89,91,9,174,178,39,142
102,159,141,171,65,99,178,164,142,122,55,34,50,125,49,53,90
166,151,10,110,124,97,118,112,133,169,28,45,98,39,44,87,32
39,17,121,21,146,112,95,40,33,127,129,48,32,172,106,98,2
22,157,26,41,46,7,48,91,113,97,100,35,169,160,17,32,58
14,73,9,126,137,93,65,148,48,79,22,134,167,130,74,84,34
159,138,48,49,111,38,178,37,146,53,45,167,123,95,131,160,94
114,23,166,99,145,142,152,141,148,95,36,80,175,41,21,112,16
42,10,30,151,51,59,57,155,156,126,63,50,68,178,123,54,138
70,77,47,139,79,116,64,146,43,151,86,15,93,24,13,102,33
158,114,83,89,15,146,65,90,17,132,59,147,174,124,81,71,54
145,164,157,19,177,147,119,72,142,104,25,87,58,96,128,5,163
166,105,93,153,29,75,65,116,8,2,3,4,73,112,39,48,157
20,89,120,141,82,97,6,144,33,78,48,79,66,13,133,47,73
116,53,47,70,162,25,30,142,69,138,84,13,172,126,35,134,115
175,140,170,47,55,59,130,157,4,104,148,107,21,44,100,22,50
76,19,126,84,116,92,159,105,44,54,156,28,160,66,94,134,79
166,31,76,144,108,164,129,62,22,133,42,82,134,138,116,26,174
68,138,59,23,133,93,89,124,52,91,34,83,77,30,151,109,74
139,88,39,16,45,120,93,84,55,174,3,153,23,148,51,131,101
128,30,21,12,180,134,133,57,108,103,116,170,60,79,169,94,48
131,117,47,103,156,42,56,150,144,91,28,83,2,132,65,180,142
107,68,165,13,109,82,6,53,115,178,33,134,7,169,59,145,112
71,29,96,32,84,110,151,100,13,98,87,158,26,91,57,146,8
71,33,113,23,96,101,83,45,131,162,172,67,5,180,69,78,155
119,129,34,73,90,111,49,142,96,21,87,105,44,139,127,123,9
95,153,88,97,156,145,127,9,81,142,103,160,126,77,159,139,47
32,167,124,122,119,24,173,16,76,127,125,5,41,159,78,73,107
128,160,5,150,35,41,14,74,102,124,100,50,144,136,91,123,162
24,18,158,88,150,71,51,36,95,125,180,123,77,124,81,57,13
161,120,147,24,9,123,105,63,122,173,160,146,132,66,102,180,18
60,81,130,71,47,162,5,124,79,147,129,175,142,4,119,174,128
179,37,55,71,163,63,174,111,172,128,24,169,69,30,18,177,12
47,11,132,92,114,108,48,87,33,79,156,64,119,5,172,121,50
14,46,143,82,89,150,72,44,64,106,149,144,130,171,69,116,135
49,88,6,177,175,152,163,101,110,5,85,48,36,28,59,174,159
85,3,2,134,30,48,83,59,27,21,141,124,8,7,19,176,93
170,133,23,149,160,110,145,57,175,128,123,7,116,134,84,10,20
47,167,10,2,108,25,103,61,136,19,148,150,86,153,162,32,157
18,140,138,40,164,51,50,57,58,67,120,131,116,180,88,136,156
136,55,60,38,61,45,179,82,35,168,72,147,139,56,19,73,134
33,14,115,100,172,60,119,118,52,92,81,21,175,9,140,148,127
174,87,172,56,101,88,33,37,57,97,153,102,5,78,79,47,86
114,113,142,74,106,18,129,10,155,40,32,27,36,154,91,61,75
168,54,21,33,171,144,61,115,48,49,29,116,128,122,32,98,177
175,58,158,61,90,138,121,73,94,81,133,101,105,174,35,129,75
71,77,122,161,144,38,19,113,146,150,128,171,162,98,145,125,147
58,159,141,48,112,2,160,147,95,130,153,151,145,86,49,173,125
180,102,85,15,23,150,104,63,43,58,125,109,68,5,72,132,145
146,65,131,55,79,7,140,96,91,100,76,153,161,101,105,77,179
14,80,62,21,29,156,131,67,5,153,138,23,133,22,13,142,11
